189.0,2,44.0,2,Poznań Grunwald Ogrody Jeżyce Centrum Łazarz ul. Bułgarska - Dobra Cena!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! GWARANCJA PEWNEGO ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Grunwaldzie ( ul. Bułgarska ). Na 44 m2 składają się dwa ustawne pokoje ( w tym..., drugie piętro 
207.076,2,43.1,2,Poznań Baranowo Baranowo ul. Szamotulska,KUPUJĄCY NIE PŁACI PROWIZJI. Na sprzedaż apartament 2-pokojowy na nowym osiedlu z 2011r. w Baranowie pod Poznaniem. Lokal znajduje się na 2 piętrze. Układ pomieszczeń: salon z aneksem kuchennym z oknem (21 91m2) z wyjściem na taras (8 77m2);..., drugie piętro 
375.0,4,74.0,2,Poznań Piątkowo/Morasko ul. Romana Drewsa,Mieszkanie o powierzchni 74 5m2 Liczba pokoi: 4 Rok budowy: 1994 Stan prawny: spółdzielcze własnościowe prawo do lokalu Piętro: 1 Materiał: cegła Zapraszam do zapoznania się z ofertą sprzedaży czteropokojowego mieszkania położonego w..., drugie piętro 
279.0,2,48.0,2,Poznań Łazarz ul. Chociszewskiego,Na sprzedaż dwupokojowe mieszkanie 2 piętro w kamienicy na Łazarzu. Powierzchnia lokalu 48 2m2 dwa pokoje przestronny korytarz osobną kuchnię łazienkę i balkon oraz piwnica. W pokojach na podłogach ładny parkiet w oknach rolety. Cicha spokojna..., drugie piętro 
295.068,3,49.46,2,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja..., drugie piętro 
269.0,1,36.0,2,Poznań Winogrady Naramowice Piątkowo Sołacz Cent ul. Serbska - Mieszkanie Do Wejścia Polecam!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu kawalerkę położoną na Winogradach w budynku Atanera ( ul. Naramowicka / Serbska ). Na 36 m2 składa się ustawny pokój..., drugie piętro 
345.0,2,51.0,2,Poznań Wilda ul. Kosińskiego,Przestronne mieszkanie na drugim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Wilda. Dwa pokoje z aneksem kuchennym okna wychodzące na wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa płytki PCV;..., drugie piętro 
600.0,3,106.0,2,Poznań Jeżyce ul. Dąbrowskiego,Na sprzedaż piękne mieszkanie 3-pokojowe z balkonem o powierzchni 106 m2 położone na 2 piętrze w rewitalizowanej kamienicy o podwyższonym standardzie przy ulicy Dąbrowskiego. OPIS MIESZKANIA: Generalny remont mieszkania w 2010 roku. Wymieniono..., drugie piętro 
329.0,3,70.0,2,Poznań Wilda ul. Madalińskiego,| Kontakt w sprawie oferty: Cezary tel. 883 577 404 Polecam do sprzedania bardzo ładne dwupoziomowe trzypokojowe mieszkanie na ul. Madalinskiego w Poznaniu. Sypialnia na górnym poziomie na dolnym dwa pokoje aneks jadalny oraz łazienka...., drugie piętro 
180.0,2,38.0,2,Poznań Łazarz Górczyn Wilda ul. Klaudyny Potockiej,Polecamy na sprzedaż 2-pokojowe mieszkanie na Łazarzu. Mieszkanie mieści się na 2 piętrze niskiego bloku z cegły z 1964r. przy ul. Klaudyny Potockiej. Mieszkanie składa się z 2 pokoi 18m z wyjściem na balkon ok 4m i 8m kuchni 2 5m łazienki..., drugie piętro 
